Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Andy Johnson,NWE,RB,23.0,120.19999999999999,14.0,9.0,0.0,0.0,0.0,488.0,3.0,117.0,294.0,1.0,,26.0,0.0,4.0,0.0
Mike Strachan,NOR,RB,22.0,123.19999999999999,11.0,11.0,0.0,0.0,0.0,668.0,2.0,161.0,224.0,0.0,,30.0,0.0,4.0,0.0
Ron Johnson,NYG,RB,28.0,123.1,14.0,8.0,0.0,0.0,0.0,351.0,5.0,116.0,280.0,1.0,,34.0,0.0,5.0,0.0
Floyd Little,DEN,RB,33.0,124.30000000000001,14.0,10.0,0.0,0.0,0.0,445.0,2.0,125.0,308.0,2.0,,29.0,0.0,2.0,0.0
Larry Schreiber,SFO,RB,28.0,126.60000000000002,14.0,14.0,0.0,0.0,0.0,337.0,5.0,134.0,289.0,1.0,,40.0,0.0,6.0,0.0
Altie Taylor,DET,RB,28.0,113.9,14.0,14.0,0.0,0.0,0.0,638.0,4.0,195.0,111.0,0.0,,21.0,0.0,3.0,0.0
Don Hardeman,HOU,RB,22.0,94.8,13.0,10.0,0.0,0.0,0.0,648.0,5.0,166.0,10.0,0.0,,5.0,0.0,3.0,0.0
Joe Namath,NYJ,QB,32.0,88.03999999999999,14.0,13.0,2286.0,15.0,326.0,6.0,0.0,10.0,0.0,0.0,,0.0,28.0,4.0,0.0
Ed Podolak,KAN,RB,28.0,127.30000000000001,14.0,4.0,0.0,0.0,1.0,351.0,3.0,102.0,332.0,2.0,,37.0,1.0,3.0,0.0
Don McCauley,BAL,RB,26.0,106.9,14.0,0.0,0.0,0.0,0.0,196.0,10.0,60.0,93.0,1.0,,14.0,0.0,1.0,0.0
Willard Harrell,GNB,RB,23.0,106.44,14.0,13.0,61.0,3.0,5.0,359.0,1.0,121.0,261.0,2.0,,34.0,0.0,11.0,0.0
Clarence Davis,OAK,RB,26.0,94.2,11.0,8.0,0.0,0.0,0.0,486.0,4.0,112.0,126.0,1.0,,11.0,0.0,4.0,0.0
Haskel Stanback,ATL,RB,23.0,101.14,14.0,10.0,41.0,1.0,1.0,440.0,5.0,105.0,115.0,0.0,,14.0,0.0,2.0,0.0
Tom Sullivan,PHI,RB,25.0,110.80000000000001,14.0,12.0,0.0,0.0,0.0,632.0,0.0,173.0,276.0,0.0,,28.0,0.0,4.0,0.0
Joe Reed,DET,QB,27.0,82.54,10.0,8.0,1181.0,9.0,191.0,193.0,1.0,34.0,0.0,0.0,,0.0,10.0,3.0,0.0
Larry Brown,WAS,RB,28.0,108.7,14.0,8.0,0.0,0.0,0.0,352.0,3.0,97.0,225.0,2.0,,25.0,0.0,2.0,0.0
Jim Bertelsen,RAM,RB,25.0,94.5,13.0,10.0,0.0,0.0,0.0,457.0,3.0,116.0,208.0,0.0,,14.0,0.0,2.0,0.0
Mike Livingston,KAN,QB,30.0,70.6,7.0,7.0,1245.0,8.0,176.0,68.0,1.0,13.0,0.0,0.0,,0.0,6.0,6.0,0.0
Cullen Bryant,RAM,RB,24.0,93.6,14.0,13.0,0.0,0.0,0.0,467.0,2.0,117.0,229.0,0.0,,20.0,0.0,4.0,0.0
Doug Kotar,NYG,RB,24.0,83.4,14.0,6.0,0.0,0.0,0.0,378.0,6.0,122.0,86.0,0.0,,9.0,0.0,4.0,0.0
Mark van Eeghen,OAK,RB,23.0,83.9,14.0,8.0,0.0,0.0,0.0,597.0,2.0,136.0,42.0,1.0,,12.0,0.0,5.0,0.0
Doug Dennison,DAL,RB,24.0,80.8,13.0,4.0,0.0,0.0,0.0,383.0,7.0,111.0,5.0,0.0,,2.0,0.0,1.0,0.0
Joe Dawkins,NYG,RB,27.0,94.3,14.0,12.0,0.0,0.0,0.0,438.0,2.0,129.0,245.0,0.0,,24.0,0.0,5.0,0.0
Archie Manning,NOR,QB,26.0,65.91999999999999,13.0,13.0,1683.0,7.0,338.0,186.0,1.0,33.0,0.0,0.0,,0.0,20.0,7.0,0.0
Alvin Maxson,NOR,RB,24.0,111.5,13.0,13.0,0.0,0.0,0.0,371.0,3.0,139.0,234.0,0.0,,41.0,0.0,4.0,0.0
Norm Snead,SFO,QB,36.0,68.47999999999999,9.0,7.0,1337.0,9.0,189.0,30.0,1.0,9.0,0.0,0.0,,0.0,10.0,5.0,0.0
Lenvil Elliott,CIN,RB,24.0,90.4,14.0,5.0,0.0,0.0,0.0,308.0,1.0,71.0,196.0,3.0,,20.0,0.0,2.0,0.0
Steve Ramsey,DEN,QB,27.0,70.27999999999999,11.0,7.0,1562.0,9.0,233.0,38.0,0.0,6.0,0.0,0.0,,0.0,14.0,2.0,0.0
Dan Fouts,SDG,QB,24.0,66.84,10.0,9.0,1396.0,2.0,195.0,170.0,2.0,23.0,0.0,0.0,,0.0,10.0,3.0,0.0
Bill Olds,BAL,RB,24.0,99.5,14.0,14.0,0.0,0.0,0.0,281.0,2.0,94.0,194.0,2.0,,30.0,0.0,1.0,0.0
Fred Biletnikoff,OAK,WR,32.0,113.7,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,2.0,,43.0,0.0,0.0,0.0
